"pub","va","sema","na","stda","vi","semi","ni","stdi","ka","ki","sequence","sequence_full","cell","cell_full","beta1","tmin","tmax","trtype","trmin","trmax","ljp_corrected","ljp","rpmin","rpmax","rsmin","rsmax","rscmin","rscmax","waitmin","waitmax","imin","imax","vpeak","ipeak","irep","t_cycle","pah","palo","pad","pahi","pih","pilo","pid","pihi","pit","boltz_ag","boltz_ii","na_e","na_e2","ca_e","tea_e","nmdg_e","choline_e","ph_e","mix_e","bath","na_i","ca_i","mg_i","atp_i","egta_i","bapta_i","ca_ib","tea_i","ph_i","mix_i","pipette","equipment","notes"
"An 1998",0,0,0,0,-70.2,1.3,17,5.3600373133,"None",-6.3,"astar","hH1","HEK","HEK293","no","None","None","transient","None","None","None","None","None","None","None","None","None","None","None","None","None","None",-10,"None","None","None","None","None","None","None",-90,-130,10,-10,"None","yes","yes",30,"None",2,0,105,0,7.4,"HCl","CaCl2 2, MgCl2 1, NaCl 30, HEPES 10, glucose 5, NMDG 105",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsAsp 60, Na-ATP 5, EGTA 11, HEPES 10, CaCl2 1, MgCl2 1",,"Measure more but don't give numbers"
"An 1998",0,0,0,0,-58.7,1.2,16,4.8,"None",-7.8,"astar","hH1","HEK","HEK293","yes","None","None","transient","None","None","None","None","None","None","None","None","None","None","None","None","None","None",-10,"None","None","None","None","None","None","None",-90,-130,10,-10,"None","yes","yes",30,"None",2,0,105,0,7.4,"HCl","CaCl2 2, MgCl2 1, NaCl 30, HEPES 10, glucose 5, NMDG 105",10,1,1,5,11,0,0.000015,0,7.2,"CsOH","CsAsp 60, Na-ATP 5, EGTA 11, HEPES 10, CaCl2 1, MgCl2 1",,"Measure more but don't give numbers"
"Bankston 2007a",-24.9,0.72,7,1.904940944,-61.3,1.64,5,3.6671514831,6.88,-6.4,"None",,"HEK","HEK293","yes","None","None","None","None","None","None","None",5,9,"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,"None","Unable to find supplement"
"Bankston 2007b",-24.8,1.3,13,4.6872166581,-71.2,0.9,9,2.7,6.2,-6.4,"astar","hH1","HEK","HEK293","yes","None","None","transient","None","None","None","None","None","None","None","None","None","None","None","None","None","None",-10,"None","None",15,-100,-80,5,70,-100,-110,10,-30,-10,"yes","yes",30,"None",2,0,100,0,7.4,"NaOH","30 NaCl, 100 NMDG, 2 CaCl2, 5 CsCl, 1.2 MgCl2, 10 HEPES, 5 glucose",10,4.27,1,5,11,0,0.000095,0,7.4,"CsOH","50 Asp, 60 CsCl, 5 Na2ATP, 11 EGTA, 10 HEPES, 4.27 CaCl2, 1 MgCl2","Axopatch 200B, pClamp 8","Construct cited in paper"
"Baroudi 2000a",0,0,0,0,-101.06,1.2,22,5.6284989118,"None","None","astar","hH1","HEK","tsA201","no",22,23,"transient",48,72,"yes",-7,"None",0.8,"None","None",80,"None",10,"None","None","None","None","None",-11000,"None","None","None","None","None","None",-110,10,-60,-30,"None","yes",150,"None",1.5,0,0,0,7.4,"None","150 NaCl, 2 KCl, 1.5 CaCl2, 1 MgCl2, 10 glucose, 10 Na-HEPES",35,0,0,0,10,0,0,0,7.4,"None","35 NaCl, 105 CsF, 10 EGTA, 10 Cs-HEPES","Axopatch 200B, pClamp 5.5","Measure more but don't give numbers"
"Baroudi 2000b",-47.24,1.7,23,8.1529135896,-93.22,1.13,21,5.1783105353,6.56,"None","astar","hH1","HEK","tsA201","yes",22,23,"transient",48,72,"yes",-7,"None",0.8,"None","None",80,"None",10,"None","None","None",-30,"None",-6000,"None",-140,-80,10,10,"None",-140,10,-10,10,"yes","yes",150,"None",1.5,0,0,0,7.4,"None","150 NaCl, 2 KCl, 1.5 CaCl2, 1 MgCl2, 10 glucose, 10 Na-HEPES",35,0,0,0,10,0,0,0,7.4,"None","35 NaCl, 105 CsF, 10 EGTA, 10 Cs-HEPES","Axopatch 200B, pClamp 5.5",
"Baroudi 2001",-47.23,1.8,5,4.0249223595,-92.47,1.13,4,2.26,"None","None","astar","hH1","HEK","tsA201","yes","None","None","transient",48,48,"None","None","None","None","None","None","None","None","None","None","None","None","None","None",-6000,"None",-140,-80,10,60,-140,-150,10,-20,10,"None","None",150,"None",1.5,0,0,0,7.4,"None","NaCl 150, KCl 2, CaCl2 1.5, MgCl2 1, glucose 10, Na-HEPES 10",35,0,0,0,10,0,0,0,7.4,"None","NaCl 35, CsF 105, EGTA 10, Cs-HEPES 10",,
"Bebarova 2008",-31.8,1.2,16,4.8,-66.6,0.8,15,3.098386677,6,-5.6,"a","NM_198056","CHO","CHO","no",22,24,"transient",20,24,"None","None",1,2.5,"None",8,60,80,"None","None","None","None",-16,"None",-15000,"None",-120,-100,5,80,-120,-140,5,20,0,"yes","yes",145,"None",1.8,0,0,0,7.4,"CsOH","145 NaCl, 4 CsCl, 1 MgCl2, 1.8 CaCl2, 10 HEPES, 11.1 glucose",10,0,5,5,5,0,0,20,7.2,"CsOH","10 NaCl, 120 CsCl, 20 TEACl, 5 MgATP, 5 EGTA, 5 HEPES","Axopatch-1D; pCLAMP8",
"Beckermann 2014",-37.3,0.6,14,2.2449944321,-86,0.4,11,1.3266499161,8.4,-6.4,"None",,"HEK","tsA201","yes",22,23,"transient",48,72,"None","None",1,1.7,"None",3,"None","None","None","None","None","None",-20,"None","None","None",-120,"None","None","None",-120,"None","None","None","None","None","None",145,"None",1.8,0,0,0,7.35,"NaOH","145 NaCl, 4 KCl, 1.8 CaCl2, 1 MgCl2, 10 HEPES, 10 Glucose",10,0,0,0,5,0,0,0,7.35,"CsOH","10 NaF, 110 CsF, 20 CsCl, 5 EGTA, 10 HEPES","Axopatch 200, pClamp 10",
"Beyder 2010",-33,9,6,22.045407685,0,0,0,0,5.6,"None","b","hH1C3","HEK","HEK293","no","None","None","transient",24,24,"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","yes","None",149.2,"None",2.5,0,0,0,"None","None","149.2 Na, 159 Cl, 4.7 K, 2.5 Ca, 5 Hepes, 5.5 mM glucose",5,0,10,0,2,0,0,0,"None","None","135 K, 130 CH3 SO3-, 5 Na, 5 Mg2, 5 Hepes, 2 EGTA, 0.6 amphotericin B","Axopatch 200A amplifier, Digidata 1322A, and Clampex 9","Don't mention b1 explicitly. Perforated patch"
"Beyder 2014",-58.2,1,9,3,-95.5,1.3,9,3.9,4.5,-5.4,"b","isoform b","HEK","HEK293","no","None","None","transient",12,24,"yes","None",2,5,"None","None","None","None","None","None","None","None","None","None","None","None",-110,"None","None","None",-120,"None","None","None","None","None","yes",15,"None",2.5,0,0,0,7.4,"NaOH","159 Cl, 139 Cs, 15 Na, 4.7 K, 2.5 Ca2, 10 HEPES, 5.5 glucose",5,0,10,0,2,0,0,0,7,"CsOH","125 CH3SO3, 35 Cl, 145 Cs, 5 Na, 5 Mg2, 5 HEPES, 2 EGTA","Axopatch 200B, CyberAmp320, Digidata 1322A, pClamp9.2","Don't mention b1 explicitly"
"Calloe 2011",-34.4,0.2,8,0.5656854249,-71.2,0.3,9,0.9,"None","None","b","hH1c","CHO","CHO-K1","no",20,22,"transient",48,72,"None","None",1.5,2,"None","None",70,85,"None","None","None","None",-20,"None",-5000,"None",-120,-70,5,50,-120,-120,5,-25,-20,"yes","yes",132.8,"None",1.8,0,0,0,7.3,"NaOH","130 NaCl, 5 KCl, 1.8 CaCl2, 1.0 MgCl2, 2.8 NaOAc, 10 HEPES, 10 glucose",10,0,0,0,10,0,0,5,7.2,"CsOH","10 KCl, 105 CsF, 10 NaCl, 10 HEPES, 10 EGTA, 5 TEACl","MultiClamp 700B, MultiClamp Commander, Digidata 1440, pClamp 10",
"Calloe 2011",-31.4,0.4,10,1.2649110641,-77.7,0.6,9,1.8,"None","None","b","hH1c","CHO","CHO-K1","yes",20,22,"transient",48,72,"None","None",1.5,2,"None","None",70,85,"None","None","None","None",-20,"None",-5000,"None",-120,-70,5,50,-120,-120,5,-25,-20,"yes","yes",132.8,"None",1.8,0,0,0,7.3,"NaOH","130 NaCl, 5 KCl, 1.8 CaCl2, 1.0 MgCl2, 2.8 NaOAc, 10 HEPES, 10 glucose",10,0,0,0,10,0,0,5,7.2,"CsOH","10 KCl, 105 CsF, 10 NaCl, 10 HEPES, 10 EGTA, 5 TEACl","MultiClamp 700B, MultiClamp Commander, Digidata 1440, pClamp 10",
"Calloe 2013",-32.7,0.2,7,0.5291502622,-69.5,0.2,7,0.5291502622,"None","None","b","NM_000335","CHO","CHO","no",20,22,"transient",48,72,"None","None",1.5,2,"None","None",70,85,"None","None","None","None",-15,"None",-13000,"None",-120,-70,5,50,-120,-120,5,-25,-20,"yes","yes",132.8,"None",1.8,0,0,0,7.3,"NaOH","130 NaCl, 5 KCl, 1.8 CaCl2, 1.0 MgCl2, 2.8 NaOAc, 10 HEPES, 10 glucose",10,0,0,0,10,0,0,5,7.2,"CsOH","10 KCl, 105 CsF, 10 NaCl, 10 HEPES, 10 EGTA, 5 TEACl","MultiClamp 700B, MultiClamp Commander, Digidata 1440, pClamp 10",
"Casini 2007",-38.6,1,15,3.8729833462,-88,2.1,13,7.5716576785,7.1,-6,"astar","pSP64T-hH1","HEK","HEK293","yes",20,20,"transient",24,48,"None","None",2,3,"None","None",80,"None","None","None","None","None",-20,-5800,"None",5,-120,-120,5,80,-120,-160,5,-35,-20,"yes","yes",147.1,"None",1.8,0,0,0,7.4,"NaOH","NaCl 140, KCl 4.7, CaCl2 1.8, MgCl2 2, NaHCO3 4.3, Na2HPO4 1.4, glucose 11, HEPES 16.8",14,1,1,2,11,0,0.000015,0,7.3,"CsOH","CsF 110, CsCl 1, EGTA 11, NaF 10, CaCl2 1, MgCl2 1, Na2ATP 2, HEPES 10","Axopatch 200B",
"Chang 2004",-58.4,1.6,9,4.8,-107,0.9,9,2.7,6.5,-5.2,"None",,"HEK","tsA201","yes",22,23,"transient",48,72,"yes",-7,"None",1,"None","None",80,"None",10,"None","None","None",-40,"None",-10000,"None",-140,-80,10,50,-140,-90,10,60,"None","yes","yes",150,"None",1.5,0,0,0,7.4,"NaOH","150 NaCl, 2 KCl, 1.5 CaCl2, 1 MgCl2, 10 glucose, 10 Na-HEPES",35,0,0,0,10,0,0,0,7.4,"CsOH","35 NaCl, 105 CsF, 10 EGTA, 10 Cs-HEPES","Axopatch 200B, Digidata 1300, pClamp 8&9",
"Chen 2016",-45.7,0.7,14,2.6191601707,-80.7,1.3,12,4.5033320997,5.8,-6.5,"None",,"HEK","HEK 293","yes",22,22,"transient",48,72,"None","None","None","None","None","None","None","None","None","None","None","None",-30,"None",-3000,"None",-120,-90,10,90,-120,-170,10,-30,-30,"yes","yes","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,,
"Cheng 2010",-32.2,0.8,16,3.2,-79.7,0.9,17,3.7107950631,4.6,-5,"b","isoform b","HEK","HEK293","no",21,23,"transient",24,24,"None","None","None","None","None","None","None","None","None","None","None","None",-10,"None","None","None",-140,-90,10,50,-140,"None","None","None","None","None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,"pClampex 10.2","Don't mention b1 explicitly"
"Cheng 2010",-31.1,1.4,6,3.4292856399,-70.6,1.1,8,3.1112698372,3.8,-4.6,"a","isoform a","HEK","HEK293","no",21,23,"transient",24,24,"None","None","None","None","None","None","None","None","None","None","None","None",-10,"None","None","None",-140,-90,10,50,-140,"None","None","None","None","None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,"pClampex 10.2","Don't mention b1 explicitly"
"Cheng 2010",-34.9,1.2,9,3.6,-72,0.8,11,2.6532998323,4.1,-4.6,"b","isoform b","HEK","HEK293","no",21,23,"transient",24,24,"None","None","None","None","None","None","None","None","None","None","None","None",-10,"None","None","None",-140,-90,10,50,-140,"None","None","None","None","None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,"pClampex 10.2","Don't mention b1 explicitly"
"Cheng 2010",-34.9,0.9,5,2.0124611797,-72.9,1,7,2.6457513111,3.7,-5.3,"a","isoform a","HEK","HEK293","no",21,23,"transient",24,24,"None","None","None","None","None","None","None","None","None","None","None","None",-10,"None","None","None",-140,-90,10,50,-140,"None","None","None","None","None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,"pClampex 10.2","Don't mention b1 explicitly"
"Cheng 2011",-37.6,1.2,8,3.3941125497,-76.1,1.7,7,4.4977772288,4.4,-5,"b","Isoform b","HEK","HEK293","no",21,23,"transient",24,24,"None","None",1,2,"None","None","None","None","None","None","None","None",-20,"None","None","None",-140,-120,10,50,-140,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",5,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl2, 2 EGTA, 5 NaCl, 5 HEPES","pClampex 10.2",
"Cheng 2011",-39.6,2.5,5,5.5901699437,-74.6,1.6,7,4.2332020977,4.5,-5,"a","Isoform a","HEK","HEK293","no",21,23,"transient",24,24,"None","None",1,2,"None","None","None","None","None","None","None","None",-20,"None","None","None",-140,-120,10,50,-140,"None","None","None","None","yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","140 NaCl, 4 KCl, 1.8 CaCl2, 0.75 MgCl2, 5 HEPES",5,0,0,0,2,0,0,0,7.4,"CsOH","120 CsF, 20 CsCl2, 2 EGTA, 5 NaCl, 5 HEPES","pClampex 10.2",
"Clatot 2012",-44.2,1.6,17,6.596969001,-81.7,0.6,10,1.8973665961,6.5,-8.8,"bstar","hH1a","HEK","HEK293","no",20,22,"transient",36,36,"None","None",1.5,2.5,"None","None","None","None","None","None","None","None",-30,"None","None",5,-120,-100,5,60,-120,-130,5,30,-20,"yes","yes",80,"None",2,0,0,0,7.4,"CsOH","80 NaCl, 50 CsCl, 2 CaCl 2, 2.5 MgCl2, 10 HEPES, 10 glucose",5,0,6,4,5,0,0,0,4.2,"CsOH","5 NaCl, 140 CsCl, 2 MgCl2, 4 MgATP, 5 EGTA, 10 HEPES","Axopatch 200B",
"Cordeiro 2006",-49.3,0.27,15,1.0457055035,-93,0.17,10,0.5375872022,"None","None","bstar","hH1a","HEK","TSA201","yes",20,22,"transient",48,48,"None","None",1,3,"None","None",60,70,"None","None","None","None",-35,"None",-5000,"None",-120,-100,5,40,-140,-140,5,-50,-10,"yes","yes",132.8,"None",1.8,0,0,0,7.3,"NaOH","NaCl 130, KCl 5, CaCl2 1.8, MgCl2 1.0, NaOAc 2.8, HEPES 10, glucose 10",10,0,0,0,10,0,0,0,7.2,"CsOH","KCl 10, CsF 105, NaCl 10, HEPES 10, EGTA 10, TEAC 5","MultiClamp 700A, Digidata 1322, pClamp 9",
"Crotti 2012a",-50.81,1.8,33,10.3402127638,-92.53,1.02,17,4.2055677381,6.88,-5.24,"None",,"HEK","TSA201","yes","None","None","transient","None","None","None","None","None","None","None","None",70,85,"None","None","None","None",-35,"None",-8000,"None",-120,-100,5,30,-120,-140,5,-60,20,"None","yes",142.8,"None",1.8,5,0,0,7.3,"NaOH","140 NaCl, 5 KCl, 1.8 CaCl2, 1 MgCl2, 2.8 NaOAc, 10 HEPES, 10 glucose, 5 TEA",5,0,1,0,5,0,0,0,7.2,"CsOH","5 NaCl, 5 KCl, 130 CsF, 1 MgCl2, 5 EGTA, 10 HEPES","pClamp 9.2",
"Deschenes 2000",-53.6,2,5,4.472135955,-97.4,1.1,6,2.6944387171,6.4,-5.7,"astar","hH1","HEK","tsA201","yes",22,23,"transient",48,72,"yes",-7,"None",2,"None","None",80,"None",10,"None","None","None","None","None",-4000,"None","None","None","None","None","None","None","None","None","None","yes","yes",150,"None",1.5,0,0,0,7.4,"None","150 NaCl, 2 KCl, 1.5 CaCl2, 1 MgCl2, 10 glucose, 10 Na-Hepes",35,0,0,0,10,0,0,0,7.4,"None","35 NaCl, 105 CsF, 10 EGTA, 10 Cs-Hepes","Axopatch 200, pClamp 5.5",
"Detta 2014",-40.3,0.46,11,1.5256474036,0,0,0,0,9.1,"None","astar","M77235","HEK","tsA201","yes","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None",-1000,"None",-120,-80,10,60,-120,-160,10,-30,-10,"yes","yes","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,,
"Ge 2008",-35.5,1.4,13,5.0477717856,-78.7,1.3,26,6.6287253677,5.6,-5.3,"a","Full length sequence","HEK","HEK293","yes",22,22,"transient",48,64,"None","None","None","None","None","None","None","None","None","None","None","None",-20,"None",-3000,"None",-120,-90,10,30,-120,-130,10,-20,0,"yes","yes",140,"None",1.8,0,0,0,7.4,"None","NaCl 140, KCl 4, CaCl2 1.8, MgCl2 0.75, Hepes 5",0,0,0,0,5,0,0,0,7.2,"None","CsF 120, CsCl 20, EGTA 5, Hepes 5",,
"Glaaser 2012",0,0,0,0,-69.1,3.3,9,9.9,"None",-6.5,"None","full-length","HEK","HEK293","no",22,22,"transient","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","yes",130,"None",2,0,0,0,7.4,"CsOH","130 NaCl, 2 CaCl2, 5 CsCl, 1.2 MgCl2, 10 HEPES, 5 glucose",10,1,1,5,11,0,0.000015,0,7.4,"CsOH","50 Asp, 60 CsCl, 5 Na2-ATP, 11 EGTA, 10 HEPES, 1 CaCl2, 1 MgCl2","Axopatch 200B, PClamp8 or 10",
"Guetter 2013",-35.1,0.4,88,3.7523326079,-84.3,0.6,68,4.9477267507,5.7,-5.9,"astar","hH1","HEK","HEK293","no",19,22,"transient",24,48,"None","None",1.4,2.6,"None","None",75,"None","None","None","None",6000,-25,"None",-5000,"None",-120,-80,5,40,-120,-140,5,-30,-20,"yes","yes",140,"None",1.8,0,0,0,7.4,"CsOH","140 NaCl, 1.8 CaCl2 , 1 MgCl2 , 10 glucose, 10 HEPES",10,0,0,0,10,0,0,0,7.3,"CsOH","10 NaCl, 130 CsCl, 10 EGTA, 10 HEPES","Axopatch 200B","Don't mention b1 explicitly"
"Gui 2010a",-34.7,0.7,23,3.3570820663,-81.4,0.7,24,3.4292856399,6.9,-6.4,"astar","hH1","HEK","HEK293","no",20,22,"transient",24,"None","None","None",1,2,"None","None",70,80,"None","None","None","None",-20,"None","None","None",-120,-120,5,50,-120,-140,5,-20,-20,"yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","NaCl 140, KCl 4, CaCl2 1.8, MgCl2 1.0, HEPES 10, glucose 10",10,0,0,0,10,0,0,0,7.2,"CsOH","CsCl 130, NaCl 10, HEPES 10, EGTA 10","Axopatch 200B, Digidata 1440A, pClamp 10",
"Gui 2010b",-33.8,0.7,11,2.3216373532,-80.3,0.9,12,3.1176914536,6.7,-6.2,"astar","M77235.1","HEK","HEK293","no",20,22,"transient",24,"None","None","None","None","None","None","None",70,80,"None","None","None","None","None","None","None","None",-120,-120,5,50,-120,-140,10,-20,-20,"yes","yes",140,"None",1.8,0,0,0,7.4,"NaOH","NaCl 140, KCl 4, CaCl 2 1.8, MgCl2 1, HEPES 10, glucose 10",10,0,0,0,10,0,0,0,7.2,"CsOH","CsCl 130, NaCl 10, HEPES 10, EGTA 10","Axopatch 200B, Digidata 1440A, pClamp 10",
"Hayashi 2015",-43.8,1.7,16,6.8,-80,0.6,16,2.4,5.2,-5.4,"None",,"CHO","CHO-K1","yes",23,25,"transient",48,72,"None","None",0.8,1.5,"None","None","None","None","None","None","None","None",-20,"None",-5000,"None",-120,-90,5,50,-120,-120,5,-30,-20,"yes","yes",130,"None",2,0,0,0,7.4,"CsOH","130 NaCl, 2 CaCl2, 5 CsCl, 1.2 MgCl2, 10 HEPES, 5 glucose",10,0,0,0,10,0,0,0,7.35,"CsOH","10 NaF, 110 CsF, 20 CsCl, 10 EGTA, 10 HEPES","Axopatch 200B, Digidata 1321, pClamp8.2 and 9","Fit Erev when fitting boltzmann"
"Holst 2009",-30.4,0.6,14,2.2449944321,-82,1.3,13,4.6872166581,6.2,-6.2,"None",,"HEK","HEK293","no","None","None","transient","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None",,"None","None","None","None","None","None","None","None","None","None",,,
