"key","name","translation"
"J Interv Card Electrophysiol","Journal of Interventional Cardiac Electrophysiology","None"
"J Korean Med Sci","Journal of Korean Medical Science","None"
"J Med Genet","Journal of Medical Genetics","None"
"J Mol Cell Cardiol","Journal of Molecular and Cellular Cardiology","None"
"J Mol Med","Journal of Molecular Medicine","None"
"J Pediatr","The Journal of Pediatrics","None"
"J Physiol","Journal of Physiology","None"
"JAMA","Journal of the American Medical Association","None"
"Khirurgiia","Khirurgiia","Surgery"
"Korean Circ J","Korean Circulation Journal","None"
"Leg Med Tokyo","Legal Medicine (Tokyo edition)","None"
"Life Sci","Life Sciences","None"
"Mayo Clin Proc","Mayo Clinic Proceedings","None"
"Mol Genet Metab","Molecular Genetics and Metabolics","None"
"Mol Med Rep","Molecular Medicine Reports","None"
"Mol Pharmacol","Molecular Pharmacology","None"
"N Engl J Med","New England Journal of Medicine","None"
"Nat Commun","Nature Communications","None"
"Nature","Nature","None"
"Pacing Clin Electrophysiol","Pacing and Clinical Electrophysiology","None"
"Pediatr Cardiol","Pediatric Cardiology","None"
"Pediatr Res","Pediatric Research","None"
"Pflugers Arch","Pfluegers Archiv: European Journal of Physiology","None"
"Physiol Genomics","Physiological Genomics","None"
"Physiol Rep","Physiological Reports","None"
"PLoS One","PLOS One","None"
"Proc Natl Acad Sci U S A","Proceedings of the National Academy of Sciences","None"
"Prog Biophys Mol Biol","Progress in Biophysics and Molecular Biology","None"
"Rev Esp Cardiol","Revista Espanola de Cardiologia","Spanish Journal of Cardiology"
"Scand J Clin Lab Invest","Scandinavian Journal of Clinical and Laboratory Investigation","None"
"Sci Rep","Scientific Reports","None"
"Science","Science","None"
"Seizure","Seizure","None"
"Zhongguo Yi ... Bao","Zhongguo Yi Xue Ke Xue Yuan Xue Bao","Acta Academiae Medicinae Sinicae"
"Zhonghua Xin ... Zhi","Zhonghua xin xue guan bing za zhi","Chinese journal of cardiovascular diseases"
